,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
28,3382,CU,2017-06-27,80.3,-1.99,6.38,"Kela, Keone",543228.0,605309.0,,ball,,,,,13.0,"Yan Gomes grounds out, third baseman Adrian Beltre to first baseman Joey Gallo.",R,R,R,CLE,TEX,B,,,0.0,0.0,2017.0,-0.02,-0.23,-0.87,2.04,,467793.0,,1.0,8.0,Bot,,,,,455139.0,,,2.49794891315833,-116.67956267354,-2.43370468649555,-0.682205437124075,23.0538704528287,-34.0457827633313,3.39,1.47,,,,79.4,2210.0,5.9,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.63,,,,,,,,55.0,1.0,Curveball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,357.0,0.0,0.048
29,3496,FF,2017-06-27,95.3,-1.64,6.54,"Kela, Keone",605548.0,605309.0,strikeout,swinging_strike,,,,,8.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,S,2.0,,3.0,2.0,2017.0,-0.56,1.47,0.15,1.44,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,5.98111956353141,-138.103772712671,-11.0952009000334,-8.53944701078834,30.1185026478548,-10.8523002505055,3.81,1.53,,,,95.6,2193.0,6.7,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,53.85,,,0.0,1.0,0.0,0.0,,54.0,9.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,202.0,-0.016,-0.516
30,3612,CU,2017-06-27,81.3,-1.73,6.39,"Kela, Keone",605548.0,605309.0,,foul,,,,,5.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,S,,,3.0,2.0,2017.0,0.31,0.06,-0.01,2.99,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,3.25267178012947,-118.332560481201,-1.19781099872925,2.34659598633281,20.3525195450323,-31.6113769278613,3.81,1.53,197.0,80.4,66.0,81.1,2299.0,5.9,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.57,,,,,,,,54.0,8.0,Curveball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,77.0,0.0,0.0
31,3716,FF,2017-06-27,94.7,-1.66,6.48,"Kela, Keone",605548.0,605309.0,,foul,,,,,9.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,S,,,3.0,2.0,2017.0,-0.32,1.53,0.71,1.6,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,6.92871579003931,-137.192568144102,-10.4693547340735,-5.63831792551377,30.1294342676799,-10.6145913240984,3.81,1.53,,,,94.8,2177.0,6.6,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,53.93,,,,,,,,54.0,7.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,193.0,0.0,0.0
32,3794,FF,2017-06-27,95.8,-1.61,6.54,"Kela, Keone",605548.0,605309.0,,foul,,,,,8.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,S,,,3.0,2.0,2017.0,-0.31,1.76,0.11,2.1,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,5.24686779816745,-138.907210752272,-10.1282389748231,-5.18195471785824,30.3743754880878,-7.13233580983012,3.81,1.53,1.0,53.8,-57.0,96.2,2274.0,6.6,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,53.85,,,,,,,,54.0,6.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,191.0,0.0,0.0
33,3899,CU,2017-06-27,79.7,-1.83,6.44,"Kela, Keone",605548.0,605309.0,,ball,,,,,11.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,B,,,2.0,2.0,2017.0,0.03,-0.47,-0.89,3.35,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,2.00184421452521,-115.81913221642,0.777112805455312,-0.132522471397729,20.6011644075679,-36.703443983192,3.4,1.61,,,,79.1,2223.0,5.8,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.67,,,,,,,,54.0,5.0,Curveball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,2.0,0.0,0.174
34,4013,CU,2017-06-27,79.7,-1.96,6.39,"Kela, Keone",605548.0,605309.0,,swinging_strike,,,,,7.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,S,,,2.0,1.0,2017.0,0.03,-0.28,-0.55,2.24,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,3.00656785133157,-115.837279824628,-1.85759122683535,-0.27541468749786,21.2148698985254,-34.5670269576177,3.81,1.53,,,,79.2,2180.0,6.0,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.54,,,,,,,,54.0,4.0,Curveball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,4.0,0.0,-0.116
35,4192,FF,2017-06-27,94.3,-1.68,6.57,"Kela, Keone",605548.0,605309.0,,ball,,,,,13.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,B,,,1.0,1.0,2017.0,-0.22,1.77,-0.09,1.05,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,4.5991592417114,-136.656195966588,-12.5331617149754,-3.68561167373789,28.6954808466232,-7.38170236116767,3.73,1.78,,,,94.3,2244.0,6.4,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.07,,,,,,,,54.0,3.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,187.0,0.0,0.102
36,4281,CU,2017-06-27,76.7,-1.96,6.44,"Kela, Keone",605548.0,605309.0,,called_strike,,,,,7.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,S,,,1.0,0.0,2017.0,0.04,-0.26,-0.76,2.3,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,2.44807596641297,-111.373319508536,-1.25567755128613,-0.159583611245736,20.6332268005395,-34.2917127485956,3.75,1.83,,,,75.5,2091.0,5.6,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.91,,,,,,,,54.0,2.0,Curveball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,5.0,0.0,-0.084
37,4395,FF,2017-06-27,94.3,-1.71,6.69,"Kela, Keone",605548.0,605309.0,,ball,,,,,11.0,Bradley Zimmer strikes out swinging.  Carlos Santana steals (3) 2nd base.,R,L,R,CLE,TEX,B,,,0.0,0.0,2017.0,-0.09,1.81,-0.5,3.44,,,467793.0,0.0,8.0,Bot,,,,,455139.0,,,3.30698967887154,-136.923265763822,-6.73869274042609,-1.78039822149636,29.143152913714,-8.15754114994424,3.27,1.53,,,,94.3,2147.0,6.3,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.2,,,,,,,,54.0,1.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Strategic,183.0,0.0,0.065
38,2512,SL,2017-06-27,82.7,-2.15,5.43,"Leclerc, José",467793.0,600917.0,hit_by_pitch,hit_by_pitch,,,,,14.0,Carlos Santana hit by pitch.,R,L,R,CLE,TEX,B,,,2.0,1.0,2017.0,0.61,0.62,2.83,-0.09,,,,0.0,8.0,Bot,,,,,455139.0,,,10.0075239681909,-119.774878421014,-7.14689663261615,4.04506292263313,20.0384822076884,-25.3487736162294,3.31,1.43,,,,81.4,,5.4,491264.0,600917.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,55.1,,,0.7,1.0,0.0,0.0,,53.0,4.0,Slider,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Infield shift,Strategic,129.0,0.064,0.35
